sum_count,carry_count,gate
2,10,0+--+0+-0
2,10,0-+++--00
2,10,00++---+0
2,10,0+-0-++-0
4,14,+-00+-0+-
4,16,0+---++-0
4,16,0+--+++-0
4,16,0-++---+0
4,16,0-+++--+0
4,17,++0--+00-
4,18,+-0+-00+-
4,19,+-0-++00-
4,19,+-00-+0+-
4,20,+00--+0+-
4,20,+-0-+00+-
4,21,+00-++0--
5,10,0-+0+0---
5,10,+0-+-++00
5,18,0-0++--00
5,18,0+00-++-0
5,19,0+--+00-0
5,19,00++--0+0
5,22,00+-+-+0-
6,6,0+0++--0-
6,6,++00--+-0
6,6,+000---+-
6,6,+0-0-+0--
6,6,+-+++000-
6,6,++0-+0+0-
6,6,0+0-+0+0-
6,7,+0++--0-0
6,7,0-+++000-
6,7,+000--++0
6,7,+0+0-+0-0
6,7,+000---+0
6,7,++00-0-0-
6,7,0+-++00--
6,7,0+0-+0-0-
6,7,+0+0+00--
6,8,+0-+-000-
6,8,+000+-+0-
6,9,+0-+-+0+0
6,10,00--+-+0-
6,10,+0+0+--+0
6,10,0+---000-
6,10,0-0+-0-0-
6,10,+0+0+-0+0
6,10,+0-0-+0-0
6,10,+++0-0-+0
6,11,+000+++-0
6,14,0-+0+----
6,15,++-+-++00
6,16,00--+-+--
6,18,++++-0-+0
6,21,++-0-0-+0
6,22,0-+0+0+--
7,6,+-00+-00-
7,6,+00+-00+-
7,6,0-00+-+0-
7,6,00+-+00--
7,6,++00-+-00
7,7,++-0-+000
7,7,+00--+00-
7,7,0-+0+-00-
7,8,+-00-00+-
7,8,0+-+--+-0
7,8,+00+-0-+0
7,8,000-+0+--
7,9,+00-+00--
7,9,+-00+00+-
7,9,++00-+00-
7,10,+0-+-00+0
7,10,0+0+--+0-
7,11,0+----+00
7,11,0-++-0--0
7,11,00-++++-0
7,11,0++0+--+0
7,12,+00-++00-
7,12,+-0--++--
7,13,00++---00
7,13,00+-+0---
7,14,+-++-0-00
7,14,0+--+0+--
7,14,+0-+---+0
7,14,++---0+00
7,14,00+0+--+-
7,15,00+++--00
7,15,00-++0-+-
7,15,+0+--0+-0
7,15,0-+++--0-
7,15,++00-+0+-
7,15,+-+---0+-
7,16,+-00+-0+0
7,16,+-0+++0+-
7,16,+0-+-0++0
7,16,+-0---0+-
7,16,+-0+++-+-
7,16,00-0+++--
7,16,++0-++0+-
7,16,0--0+-+0-
7,17,0+-0+0+-0
7,17,++--++0+-
7,17,+-0++-0+-
7,18,+++0-+-00
7,18,++0-++0--
7,18,+0++---+0
7,18,++00+---0
7,18,+-0-+00--
7,18,+-0-+-00-
7,18,++-0-++-0
7,18,+-0--+0--
7,19,++0--+0--
7,19,+00+-+0+-
7,19,++-0-+--0
7,19,+-0-+00-0
7,19,0++-+0+--
7,19,0+-0++-0-
7,19,000+-+0+-
7,20,+0-++-0-0
7,20,+0-+-+-00
7,20,0+++-00--
7,20,+-+0--+00
7,20,+-0-+-000
7,21,0+-0-0+-0
7,21,0+00-+0+-
7,21,+-0+--0+-
7,21,+-00+-+-0
7,24,+-0-++0+-
7,24,+-0--+0+-
7,25,0-+++-+0-
8,5,+++0-000-
8,7,+000-++-0
8,7,+0+0--0+0
8,7,00--+0+-0
8,7,0-0++0-0-
8,7,0+-0-++00
8,7,0+--+000-
8,8,+0++-0-+0
8,8,00--+00--
8,8,++-0-++00
8,8,0+-0-000-
8,8,00--+0+--
8,8,+000+0+-0
8,8,0-+0+--0-
8,8,000+-0-0-
8,8,+0+0+-000
8,9,0+-++-+-0
8,9,0++++---0
8,9,0+++----0
8,9,++00-+-+0
8,9,0-+-+00--
8,9,0-0-+-+0-
8,10,00++-0-+0
8,10,0-+0+--00
8,13,+----00+-
8,14,++-0-000-
8,14,+000+0+--
8,14,+0---+0+0
8,15,00-+-00+0
8,15,0-00+-+00
8,16,0+-++0+-0
8,16,+-00-+-+0
8,17,+0+0+-00-
8,17,+-0--+-0-
8,17,0-+-+00+-
8,17,00++----0
8,17,0-0-+++0-
8,17,0+0++--00
8,18,0+-++00-0
8,18,00+-+00-0
8,18,00+-+-++-
8,18,0-+0+++--
8,18,+0+-++0+-
8,18,+-00++++-
8,19,00++--0-0
8,19,+00+-0-0-
8,19,0+00--+-0
8,20,+--+-00+0
8,20,0+-0--+-0
8,21,0+00-+-00
9,6,++00+-+00
9,6,00-+-00--
9,6,0+00---0-
9,6,+0+++00-0
9,7,0--++000-
9,9,+-0++++0-
9,10,+0-0+++-0
9,10,0+---0+0-
9,11,+++-+00+-
9,11,+0----0+-
9,11,+-00-+---
9,12,+-0--0-00
9,12,++---00+0
9,13,+-0-+++--
9,14,++0--+-00
9,14,++-+-+0+-
9,14,00+-+-0+-
9,15,+-0-+-+--
9,15,0-00+++--
9,15,0-++-0---
9,15,+--0-+-00
9,15,+-+-+-0--
9,16,00+-++0--
9,16,0-+0+++0-
9,16,0+-++0+0-
9,16,0+----+0-
9,16,+0-++++-0
9,17,0-0+-00+-
9,17,+-0+--0+0
9,17,+-0+-+-00
9,17,0+0+++0+-
9,18,++0+-00--
9,18,++0-+-+--
9,18,00+-+0++-
9,18,0---+0+-0
9,18,++---+0+-
9,18,+0---0-+0
9,18,+-0--+-00
9,19,++0+-+-+-
9,19,+00-++0-0
9,19,0-+-+--00
9,19,0-00+-++-
9,19,++0+---+-
9,19,+++0+--+0
9,19,+-0+-+-+-
9,21,0+0--+00-
9,21,0+-0-+++0
9,21,++-+-+0--
9,21,0-+0+-0+-
9,21,+-+++-0--
9,21,+-0+-0-+0
9,21,000-+++--
9,21,+-+-+-0+-
9,21,000+++0+-
9,22,00++-+-+0
9,23,+-0---0-0
9,23,++---+000
9,25,+-0---000
9,26,0+00++0+-
9,28,+-0--00-0
10,6,+000-+0-0
10,6,+000--0+0
10,6,+0-0++--0
10,6,0+0-+000-
10,6,0++--0+0-
10,6,+0-0+--+0
10,6,0-0++000-
10,7,+0-0-00+0
10,8,0-++-0+0-
10,10,0-++-0-0-
10,12,0++0--+00
10,12,00+0++0+-
10,13,0-00+--+-
10,14,0+0--++00
10,14,00--++0-0
10,14,0000++++-
10,14,+----0000
10,15,0+-++0--0
10,16,+00++-+-0
10,16,+-0+-0+0-
10,16,00++--+-0
10,17,0-++-0++-
10,17,++0--++00
10,17,0-++-00+0
10,17,+0+0----0
10,17,+-0--+--0
10,17,+0+-+-0-0
10,17,+-++-00+0
10,17,+--0-000-
10,17,0-00+--+0
10,17,++00-+-0-
10,18,0+-++--00
10,18,0+-+--00-
10,18,00--++0--
10,18,0+0--+0+-
10,19,+++0+-0-0
10,19,+0-0--+-0
10,19,+--0+--+0
10,19,0+-+-00+-
10,19,0++0--+-0
10,20,0+0+-+-0-
10,20,0++++0-0-
10,20,+0--++--0
10,20,+-0---0+0
10,21,0++-++0+-
10,21,+++--000-
10,21,+-----0+0
10,21,0+0+-0---
10,22,0-0-++0+-
10,24,0++--++0-
10,28,+0+0+-+-0
10,31,0+00+-0-0
11,4,0++-++--0
11,4,0++--+--0
11,4,0--++-++0
11,5,+0-0+-00-
11,5,+00+-0+0-
11,6,+++0+--00
11,6,00+-+00+-
11,6,+0---00+0
11,6,0-00+++0-
11,7,00+0+0+-0
11,7,0-++++--0
11,7,00+-+000-
11,7,0-++--+-0
11,8,0-00+0+0-
11,8,0-0-+0-+-
11,8,0+-0-0-00
11,8,+000-+-00
11,8,00-+-0-00
11,8,00+0+-+00
11,8,+-00-+-00
11,10,0++-+--+0
11,11,++0--00--
11,11,0+-0-+-00
11,11,+-0+-000-
11,11,00-+-0-+0
11,11,0-+0+-+00
11,11,00+-+0+-0
11,12,0-0-+--+-
11,12,0-0+++0--
11,13,+--0+0--0
11,13,0-0+-+0+-
11,14,+-0-++0-0
11,14,+++----+0
11,14,+0---0-00
11,14,+0+---+00
11,16,+++-+--+0
11,16,+0-0+-0+-
11,16,+000++0--
11,16,0-0-++++-
11,16,++00++0+-
11,17,0++0+-0-0
11,18,+0+0++0+-
11,18,0++----00
11,18,0-0+++++-
11,19,0---+-0+-
11,19,0+0-++0--
11,19,0-+0+-000
11,19,+00+-+0+0
11,20,0++++--00
11,20,000+-0--0
11,20,000-+0+-0
11,20,+-0--+000
11,22,++---0-+0
11,22,++0--+0-0
11,22,+--+-+-00
11,24,+000++---
11,25,+-0--000-
11,25,+0+----00
11,27,+000++0+-
12,6,0-+++0--0
12,6,00-+-++-0
12,6,+00--000-
12,6,0+--+-+00
12,6,+-+0++--0
12,6,0++0---+0
12,7,0+--++--0
12,7,+000-0+-0
12,7,+0----0-0
12,8,+0-+-++-0
12,8,00-+--++0
12,8,+0-0-00-0
12,8,0-0-+0-0-
12,10,0+---0000
12,10,0++-+0-0-
12,10,+0-+-0+-0
12,10,++-0-0-00
12,12,00+0+-+0-
12,12,0--+-+-+0
12,12,000+--++0
12,13,0+00+---0
12,14,++00+-0--
12,14,00-+----0
12,14,+-+-+00+-
12,15,+-0-+-++-
12,15,+-0-+-0+0
12,15,00-+-0000
12,15,00--+--00
12,15,0000+-+00
12,16,0+0-+0--0
12,16,++0+--00-
12,16,0+-+++0--
12,16,0--0+0--0
12,16,0-0-+++--
12,16,+-00+--00
12,16,0-++++-0-
12,17,++00--00-
12,17,0+0+-+++-
12,17,++--++0-0
12,17,0+-0-00+-
12,17,+0+--+0+-
12,17,0-+-+0+--
12,17,000+-0-+0
12,18,00+++-++0
12,18,0+-0-+000
12,18,00+0+-0+0
12,18,++00++0--
12,18,+----+0+0
12,18,00+-++0+-
12,19,0-00++++-
12,19,+-00---+-
12,19,++-0+0--0
12,19,+++-+-0-0
12,19,+----00+0
12,20,+----+000
12,20,+00+++0+-
12,21,+-0--0+--
12,21,0+-0-0-0-
12,22,0-+0++0+-
12,22,0-+0+-0--
12,22,+0-+-+000
12,23,++-+-+--0
12,26,+--+-+000
12,28,0-+0++0--
13,6,00++-0+--
13,6,+000++00-
13,6,0+0-+0+--
13,6,+000+00--
13,6,00++-0++-
13,6,+0+0--0+-
13,6,+000+-00-
13,6,+-+0-000-
13,7,0+++-0--0
13,7,+00+-+++0
13,7,000++0-0-
13,7,+-00-+0-0
13,7,++-+-0+00
13,7,0++0+0-0-
13,7,+00-++--0
13,8,0++++0--0
13,8,00+0+-++0
13,8,0--+-0-00
13,8,+-00--00-
13,8,00+0+----
13,8,+0++++--0
13,9,0+-+-+++0
13,9,+00-+-++0
13,9,0+0--0++-
13,9,+0++---00
13,9,00+++000-
13,9,+-00+-000
13,9,00--+0---
13,10,+00+-++-0
13,10,0--0+0-0-
13,10,0++0--0+0
13,10,+0++-+++0
13,10,0---++---
13,11,0-0++0--0
13,11,00-0+-0-0
13,11,+--++++-0
13,11,+0+0+00+-
13,11,0+---+---
13,12,0-+-+-000
13,12,+-+++-0-0
13,12,++00++-0-
13,12,0--++++0-
13,12,0-+-+++-0
13,12,0--0+-000
13,12,00++-++00
13,13,+000+-0-0
13,13,+-++--0-0
13,13,00--+000-
13,13,0++--0-+0
13,13,00-+++-0-
13,13,++00-0-00
13,13,+0++-0+-0
13,13,+-+-++00-
13,14,+--0-+000
13,14,+000-+0+0
13,14,+0+---0+0
13,14,++-0-+-+0
13,14,0++--+-+-
13,15,00++--+00
13,15,000+-+-0-
13,15,00++-+++-
13,15,0-0++--0-
13,15,0+0+--+-0
13,15,0-+-+-0+0
13,15,00-+++0-0
13,15,+0+-+-000
13,15,000-++0+-
13,15,+000+--+-
13,16,+-0++++--
13,16,+-+-++0-0
13,16,+++0-+0+-
13,16,+000+-0+-
13,16,+-+--+-+0
13,16,0++-+++-0
13,16,0++0+-000
13,16,+000-00+0
13,16,+00+--++0
13,16,0+0-+00--
13,16,+-+0-+--0
13,17,++--+--00
13,17,0+0-+--00
13,17,0+-0-+0+0
13,17,+-+--+0-0
13,17,0-0++-0+-
13,17,+0+0+-0-0
13,17,++00+----
13,17,0-0-+--00
13,17,0-+++0-+-
13,17,+0-+-+--0
13,17,000-+-+-0
13,17,0+0-++0+-
13,17,+----+0-0
13,18,0--0+0+-0
13,18,++-0--0-0
13,18,0+0--+++-
13,18,+00++00--
13,18,+00-+++--
13,18,0-0+---00
13,18,+-0+-+0+-
13,19,+--+-00+-
13,19,0---+-000
13,19,0---+00-0
13,19,0--0++0+-
13,19,0---++0+-
13,19,0-+0++++-
13,19,+++0-+00-
13,19,0+00---+0
13,19,+0+++-0-0
13,19,+-+--0-+0
13,19,000+-0-+-
13,19,+++-+00-0
13,19,000-+00+-
13,19,++0+-0-+0
13,20,+-0--+0-0
13,20,0++-+-0--
13,20,0-0-+000-
13,20,+0-0++0--
13,20,0+00-+++0
13,20,00+0+-+--
13,20,0-0+-0-00
13,20,+++--+0+0
13,20,+-0+-+++0
13,21,0--0+---0
13,21,++0--000-
13,21,0+0+-0+-0
13,23,++0+--+-0
13,23,+----+-+0
13,23,0+--++0+-
13,24,+00+--0+0
13,33,00+-++-+-
13,35,0-+-++++-
14,4,0--+--++0
14,4,+0-0-00--
14,4,+0+++000-
14,5,+000+0---
14,6,+0--+-00-
14,6,0+-0--+0-
14,6,00++-0---
14,6,+000+00+-
14,6,0++0-++0-
14,6,+000-0-+-
14,6,+000-++--
14,6,+000+0-+-
14,6,++00--+00
14,6,0++0-0-0-
14,6,+0-0+00+-
14,6,+-00+0-0-
14,6,+-+0+000-
14,6,+-00-000-
14,7,0+--+-++0
14,7,+--0+-+00
14,7,0++0+-++0
14,7,+00-+-+-0
14,7,+0++-000-
14,7,0+++---+0
14,7,+-+0-+0+0
14,7,+0-+-0-+0
14,7,+0-0--0+0
14,7,00+-+0+0-
14,7,0-+++0-0-
14,7,0-++-++-0
14,7,+-00----0
14,7,000-+0---
14,7,0+0++++0-
14,8,0++-+0--0
14,8,00-++0+--
14,8,00+++0-0-
14,8,+00--+++0
14,8,0--++-+00
14,8,00+0+++-0
14,8,++-0+-++0
14,8,0--++0+--
14,8,00-+--+-0
14,9,+0++-00+0
14,9,00-0+0+--
14,9,0-+-+---0
14,9,+-0++00+-
14,9,+-+0-+000
14,9,0--+-0+--
14,9,+00--00--
14,9,+0-+++0-0
14,9,00-++0--0
14,9,0+++-000-
14,10,+0--+-000
14,10,0--0++00-
14,10,0-0++---0
14,10,+00--0-0-
14,10,00++-00-0
14,11,0--++---0
14,11,+-0--+++-
14,11,0++0--++0
14,11,00+++++-0
14,11,+-+0-0--0
14,11,0-+++-+-0
14,11,00++-----
14,12,+0-++---0
14,12,+---+-000
14,12,0--+-0+0-
14,12,+-0--0+0-
14,12,0-++-+-00
14,12,0-0+-0---
14,12,+0+0--+-0
14,12,0000+--00
14,12,00+++++--
14,13,+++-+00--
14,13,0+--++++-
14,13,0+-+----0
14,13,++0--+-+0
14,13,00-0+++-0
14,13,+++--00--
14,13,0-++-+-+0
14,13,0+-++-0-0
14,13,+-0+--00-
14,13,++-0--00-
14,14,0+++-++-0
14,14,++-++0+-0
14,14,+-0----00
14,14,00++++0+-
14,14,0+0+-++--
14,14,++-+++0--
14,14,0--++-+-0
14,14,0-+-++---
14,14,0+0---+-0
14,14,+-0--00+-
14,14,+-----0+-
14,14,0+++--00-
14,14,+00--+-+-
14,14,0-0-++-0-
14,14,++0++--+-
14,14,+0++--0+-
14,14,++0+-0-0-
14,14,+-0+--+0-
14,14,+---+-++0
14,14,+-+-+00--
14,15,+-00+0+-0
14,15,0-0+-+-0-
14,15,+0---+000
14,15,0-00+-++0
14,15,+-+-+0--0
14,15,++0-+--00
14,15,+-0++-+0-
14,15,+0+-+---0
14,15,+-0----+0
14,15,0+-0--+--
14,15,+++0--+00
14,15,+++-++0-0
14,15,0+00----0
14,16,0++0-0++0
14,16,0--+-+---
14,16,+0-++--00
14,16,+0+-+--00
14,16,+++-+-++0
14,16,0---+-+--
14,16,+00++0-+-
14,16,0+++--+0-
14,16,+-00---+0
14,16,+-00++0-0
14,16,+--+-0-+0
14,16,0+-0+--0-
14,16,+--0--+-0
14,16,0-0+-+--0
14,16,0+++++-0-
14,16,+-0+-+00-
14,16,+++-+++-0
14,16,+00++0+--
14,16,+-00+0--0
14,16,++----0+-
14,16,+00++-0--
14,17,+0++--+00
14,17,0--+-00-0
14,17,+-0---++0
14,17,+-+-+--00
14,17,00++-+-00
14,17,+-0+-++00
14,17,0-+-+-+0-
14,17,0+0-++-+-
14,17,000-+0++-
14,17,+-+++-000
14,17,0--+---00
14,17,+-0--00+0
14,17,0-++--0-0
14,17,+----++00
14,17,00++-+0+0
14,17,000-+-+--
14,18,+00++--0-
14,18,0--+-+0+-
14,18,++00--++-
14,18,000+-0---
14,18,+-0--00--
14,18,00-++-+--
14,18,000+-+++-
14,18,+000-+---
14,18,+-0+-+-+0
14,18,++0+-+0-0
14,18,+-0--0-+-
14,19,0+-+--+0-
14,19,++0+-+00-
14,19,+----+++0
14,19,00--+0++-
14,19,0-0++++-0
14,19,0+0++---0
14,19,0+00-+0--
14,19,00+0+0+0-
14,19,0-+++-0+0
14,19,0-0++-00-
14,19,00+++-+--
14,19,+-0+-++0-
14,19,0+00-+000
14,20,+----000-
14,20,0+---+0--
14,20,0-00+000-
14,20,0+-+-0--0
14,20,0-+0++00-
14,20,+-0--+0+0
14,20,+-+-+00-0
14,20,+-0++-++0
14,20,+000-+000
14,20,+-00+-+0-
14,20,0+-+-+0-0
14,21,+-0--+++0
14,21,0--+--0+-
14,21,++-+-00+0
14,21,+-+--+0+0
14,21,+-0--0-0-
14,21,+-0++-+-0
14,21,+0+---+-0
14,21,0+-+--0+-
14,22,0-+0++-+-
14,22,0+-0--00-
14,22,+-+--000-
14,22,+-0--++00
14,22,+-0-+0-0-
14,22,0+00-0+0-
14,23,0-0+++-+-
14,24,++-+-0--0
14,25,0+-0-+-+-
14,26,0+0+--000
15,6,+-00+-++0
15,6,+++0-+-+0
15,6,+0+0-+0--
15,6,+-00+0+0-
15,6,+0-++0--0
15,6,0+00-+-0-
15,6,+-00+-+00
15,6,++-0+--00
15,6,+0+-++0-0
15,6,0++0-0+0-
15,6,0++0-+--0
15,6,0--+-0--0
15,6,+0-+-+++0
15,7,0+-0++--0
15,7,0+-++--+0
15,7,+0+-++--0
15,7,0-0+--+-0
15,7,0+-0+000-
15,7,+00++00-0
15,7,++00+-000
15,7,+0+0--0-0
15,7,00-++-+-0
15,7,+000--+00
15,7,0--+++--0
15,7,0++---0-0
15,7,+000+--+0
15,7,00+++00+-
15,7,0+-++++-0
15,7,+0-0-0-+0
15,7,0-+++++-0
15,7,+0+0--000
15,7,0++-+-++0
15,7,0+-0-0+0-
15,7,0-++-000-
15,7,+0+0++0-0
15,7,0+00--00-
15,7,000+-00--
15,7,0+0++0-0-
15,7,0+----+-0
15,7,0+-----+0
15,8,0--+-0++-
15,8,0+00+0+0-
15,8,+0+0+0--0
15,8,+000+-0+0
15,8,0--+-+-0-
15,8,0-0-+0---
15,8,0-0-+0+0-
15,8,0---++00-
15,8,0+---0-+0
15,8,0+---0-00
15,8,0+-0+0+0-
15,8,+000---00
15,8,+00++00+-
15,8,+000++0-0
15,8,+0+0-+000
15,8,+00---0+0
15,8,0++0-000-
15,8,+++0-+0+0
15,8,++00-+000
15,9,++00+--+0
15,9,0++0-+-+0
15,9,+-+0++0-0
15,9,0+0--0-+-
15,9,++00++00-
15,9,0+++-+-+0
15,9,0++--0++0
15,9,0-++-++00
15,10,+00--0++-
15,10,0-++-+--0
15,10,++00-0+00
15,10,0--+-++0-
15,10,+00+-+-0-
15,10,0+00-++00
15,10,0+--+-00-
15,10,+0+0-+--0
15,10,0---+--0-
15,10,0+----0-0
15,10,+0-0-+000
15,10,0-+-++-+-
15,10,0--0+--0-
15,10,+0+0-+0+0
15,10,00--+-+00
15,10,00+++0---
15,10,00-++00-0
15,10,000+-++-0
15,10,0--+-+-00
15,10,00-+-++00
15,11,+0+++-0+0
15,11,0+00++++-
15,11,0+--+-000
15,11,0+00-0+00
15,11,0-++---00
15,11,00+++--+0
15,11,0---++-+-
15,11,0+0+-0+00
15,11,0++-+-+-0
15,11,0--++0--0
15,11,00++++--0
15,11,0+++-0000
15,11,0--+++0+-
15,11,0000+---0
15,12,+++0++0-0
15,12,0+++-0+--
15,12,0-0++++0-
15,12,00+0+---0
15,12,0+0++-+-0
15,12,000+-0++0
15,12,0+-0-0++-
15,12,+---+-+-0
15,12,0--0+--00
15,12,0+00+--+0
15,12,++0--+-0-
15,12,++-----00
15,12,+-0+-+0-0
15,12,+---+++-0
15,12,+------00
15,12,000+-+++0
15,13,+000+-0--
15,13,0++0-+0-0
15,13,+--++-0+-
15,13,++0+-000-
15,13,0--++00-0
15,13,0++0-++--
15,13,0+00-0-+-
15,13,+-0-+0---
15,13,+-0---+--
15,13,0+00++-+-
15,13,+0-++-0--
15,13,0000++-+-
15,13,+-00++0+-
15,13,00+0++0--
15,13,+-00+0++-
15,13,0+-----+-
15,13,+0-+-00+-
15,14,++0---+0-
15,14,+0+++-0--
15,14,++0--0-00
15,14,+----0--0
15,14,00+0+-0--
15,14,+++--+-+0
15,14,+--+---+0
15,14,+--0-+0+0
15,14,0+-++---0
15,14,0-0-++-+-
15,14,0+00-+++-
15,14,+00+-+0-0
15,14,+--0---+0
15,14,0-+-+++0-
15,14,0+0--++0-
15,14,0--+-+++-
15,14,+--++--00
15,14,+-++---+0
15,14,0+-0-+-0-
15,14,+00++-++0
15,14,+++0--0+0
15,14,00--++0+-
15,14,+-0+---0-
15,14,0000+-++-
15,14,+-0---00-
15,14,00--+++0-
15,14,+-+0+-000
15,15,0++-+-0-0
15,15,0++-+00-0
15,15,0-0+-+-+0
15,15,0+0--00+-
15,15,+++--00+-
15,15,0+-0+0+--
15,15,0+0+-+-+0
15,15,00-+--0+0
15,15,00-+---00
15,15,+--0-+0+-
15,15,+-00-++00
15,15,0000+++0-
15,15,+0-0+-+-0
15,15,+0+--+0+0
15,15,00++++++-
15,15,+0-+++0+-
15,15,++0---0+0
15,15,+-0-+++-0
15,15,+-+---0--
15,15,++00-++-0
15,15,+00+---+-
15,15,++0---+-0
15,15,0--++-000
15,15,+++++--00
15,15,+-+++++-0
15,15,0+0+--00-
15,15,+00++-0+-
15,15,++0+-0+0-
15,15,00-+-+++-
15,15,+-00+-++-
15,15,++0+-00+-
15,15,0---++--0
15,15,0+-0+-++0
15,15,+-00-----
15,15,0++++--0-
15,15,+-+0-+0-0
15,15,0+0-+-0+-
15,16,0++0-0-+-
15,16,++-+--+00
15,16,0-++-+---
15,16,0+-0-+0--
15,16,++-0+---0
15,16,++0+-0-+-
